dataset,Descriptor,Model,Repeat,Fold,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
bbb,Morgan,RandomForest,3,3,0.9565217391304348,0.967873638618246,0.9074074074074074,0.967741935483871,0.8260869565217391,0.8941135219771191,0.8823529411764706,0.9230769230769232,0.8128627270651106,0.8074179743223966
bbb,Morgan,RandomForest,3,4,0.9673295454545454,0.979774244945616,0.9074074074074074,0.90625,0.9090909090909092,0.9076693430779936,0.935483870967742,0.9206349206349206,0.8101786565724084,0.8095909732016925
bbb,Morgan,RandomForest,3,5,0.9190340909090908,0.9385650145096828,0.8333333333333334,0.90625,0.7272727272727273,0.8118441408859887,0.8285714285714286,0.8656716417910447,0.6518350457459395,0.6473149492017416
bbb,Morgan,RandomForest,4,1,0.9663394109396914,0.9779938432188692,0.8888888888888888,0.9032258064516128,0.8695652173913043,0.8862357162406246,0.9032258064516128,0.9032258064516128,0.7727910238429172,0.7727910238429172
bbb,Morgan,RandomForest,4,2,0.9957924263674612,0.9971537001897532,0.925925925925926,0.967741935483871,0.8695652173913043,0.9173411178551378,0.9090909090909092,0.9375,0.8493035685849211,0.8468085106382979
bbb,Morgan,RandomForest,4,3,0.9326788218793828,0.951559802105468,0.8333333333333334,0.8709677419354839,0.782608695652174,0.8256070060696241,0.84375,0.8571428571428571,0.6577408605622689,0.6572637517630465
bbb,Morgan,RandomForest,4,4,0.9346590909090908,0.943743230011422,0.9074074074074074,0.96875,0.8181818181818182,0.8902885129909497,0.8857142857142857,0.9253731343283582,0.8096785097382297,0.8040638606676342
bbb,Morgan,RandomForest,4,5,0.8636363636363636,0.9062815705232474,0.7592592592592593,0.6875,0.8636363636363636,0.770551750371122,0.88,0.7719298245614035,0.5430957356271786,0.5250338294993235
bbb,Morgan,RandomForest,5,1,0.9270687237026648,0.94392499692823,0.8518518518518519,0.8709677419354839,0.8260869565217391,0.8482305648608138,0.8709677419354839,0.8709677419354839,0.697054698457223,0.697054698457223
bbb,Morgan,RandomForest,5,2,0.9509116409537168,0.9627577231119068,0.8888888888888888,0.9032258064516128,0.8695652173913043,0.8862357162406246,0.9032258064516128,0.9032258064516128,0.7727910238429172,0.7727910238429172
bbb,Morgan,RandomForest,5,3,0.9368863955119217,0.9578452053803036,0.8888888888888888,0.8709677419354839,0.9130434782608696,0.8917574875210129,0.9310344827586208,0.9,0.7774957785358391,0.7753120665742025
bbb,Morgan,RandomForest,5,4,0.9403409090909092,0.9635770099174704,0.8518518518518519,0.875,0.8181818181818182,0.8461141122266493,0.875,0.875,0.6931818181818182,0.6931818181818181
